Date,Close,High,Low,Open,Volume,resistance,support,near_resistance,near_support,intended_direction,triangle_pattern,triangle_breakout_direction,multiple_top_bottom_pattern,channel_pattern,has_event
2023-06-20,423.4168701171875,424.56940938616935,421.3345614533151,423.67838900347647,76160400,429.6444062311506,389.5824641073576,False,False,,,,,,False
2023-06-21,421.2473754882813,423.2328262923549,420.65656392245774,422.4289690630937,76982300,429.6444062311506,389.5824641073576,False,False,,,,,,False
2023-06-22,422.7679748535156,422.8744976898845,419.9495827719529,420.28857012220664,70637200,429.6444062311506,389.5824641073576,False,False,,,,,,False
2023-06-23,419.57183837890625,421.36360329009193,418.8551442371661,419.3006544152612,92074500,429.6444062311506,389.5824641073576,False,False,,,,,,False
2023-06-26,417.8575439453125,420.92773045025166,417.6154143667033,419.0003884627084,72823600,429.6444062311506,389.5824641073576,False,False,,,,,,False
2023-06-27,422.4386901855469,423.0585266017534,418.2837379082009,418.7389427456429,72813700,429.6444062311506,389.5824641073576,False,False,,,,,,False
2023-06-28,422.6517639160156,423.6686964256791,420.73408682017543,421.35392323417744,75636000,429.6444062311506,389.5824641073576,False,False,,,,,,False
2023-06-29,424.3175659179687,424.4822270447214,421.8284961877175,422.23525734843753,67882300,429.6444062311506,389.5824641073576,False,False,,,,,,False
2023-06-30,429.3248291015625,430.3127072151387,427.2231311982605,427.542758817571,104964000,430.3127072151387,389.5824641073576,False,False,,,,,,False
2023-07-03,429.81878662109375,430.09963567460966,428.6953017365227,428.9761803468744,32793400,430.3127072151387,389.5824641073576,False,False,,,,,,False
2023-07-05,429.1795654296875,429.91564887549146,427.98827715137367,427.9979717936088,58418400,430.3127072151387,389.5824641073576,False,False,,,,,,False
2023-07-06,425.8188171386719,426.2449676130774,423.30066330541297,425.5863821733005,80658300,430.3127072151387,389.5824641073576,False,False,,,,,,False
2023-07-07,424.74371337890625,428.7049794666193,424.5015837898049,424.82121139924607,86134200,430.3127072151387,389.5824641073576,False,False,,,,,,False
2023-07-10,425.8188171386719,425.9931433627005,423.8139768918328,424.3853992195954,62443500,430.3127072151387,389.5824641073576,False,False,,,,,,False
2023-07-11,428.5306091308594,429.0245629340207,425.6056944344112,426.5839073993123,64463800,430.3127072151387,389.5824641073576,False,False,,,,,,False
2023-07-12,431.97857666015625,433.3926348395561,430.90353539722554,432.3369533046365,91924500,433.3926348395561,389.5824641073576,False,False,,,,,,False
2023-07-13,435.4071044921875,436.20129662814134,433.3635449730267,433.7993604938544,72425200,436.20129662814134,389.5824641073576,False,False,,,,,,False
2023-07-14,435.1359558105469,437.15046112495,434.3708179806255,436.29818974063414,69815800,437.15046112495,389.5824641073576,False,False,,,,,,False
2023-07-17,436.6467895507813,437.70247095755104,434.9421878739544,434.99063152335657,52680200,437.70247095755104,389.5824641073576,False,False,,,,,,False
2023-07-18,439.8913879394531,440.5402787355079,435.88170745330945,436.31755256939874,80668200,440.5402787355079,394.3105982576162,False,False,,,,,,False
2023-07-19,440.8695983886719,442.0608571337114,439.8138872965887,440.6855775235812,65891700,442.0608571337114,394.5325985771212,False,False,,,,,,False
