event_date,pattern_type,start_date,end_date,upper_slope,upper_intercept,lower_slope,lower_intercept
2014-06-30,channel_up,2014-04-17,2014-06-30,0.18541395156590026,152.2392871001645,0.19177099520602967,151.07151564605903
2016-03-31,channel_up,2016-01-19,2016-03-31,0.3454046112695605,157.87327296753185,0.38752496608676507,154.64025338821605
2016-04-18,channel_up,2016-02-04,2016-04-18,0.39884705304768364,160.00292737250768,0.42390837539250975,157.53591981486798
2017-06-09,channel_up,2017-03-29,2017-06-09,0.15578692857265566,203.9074125957234,0.1656164012936307,202.50562636341888
2017-08-02,channel_up,2017-05-22,2017-08-02,0.12259547222163183,210.0133932299086,0.12260142497779473,208.95515666449
2017-10-23,channel_up,2017-08-11,2017-10-23,0.2492610094329241,212.85301664809992,0.26349490684060217,211.50646215238197
2018-06-19,channel_up,2018-04-09,2018-06-19,0.24413019118651813,234.60745839151926,0.27742516975812703,231.67983208630315
2018-08-23,channel_up,2018-06-13,2018-08-23,0.23885325716710598,243.50602825930866,0.2518232441016393,241.46191226015625
2019-04-11,channel_up,2019-01-30,2019-04-11,0.3356153727706416,243.83004238205905,0.3428950815005427,241.65771435203243
2019-05-01,channel_up,2019-02-19,2019-05-01,0.33653541938394455,248.5705916525551,0.34629571717791774,246.46011154913577
2019-07-23,channel_up,2019-05-10,2019-07-23,0.3999381737536166,253.72970628887074,0.43529701212632843,250.68172303795362
2020-12-28,channel_up,2020-10-15,2020-12-28,0.6884359277246996,316.1362963331221,0.7359144719287692,310.76619794031285
2021-05-07,channel_up,2021-02-25,2021-05-07,0.7709059600780623,358.67498993433526,0.8622147519573259,352.3411983998109
2021-07-15,channel_up,2021-05-04,2021-07-15,0.41295079375718,387.0772726407642,0.4528289373048346,382.98653835158956
2021-08-12,channel_up,2021-06-02,2021-08-12,0.5027570761236917,393.4163213818142,0.500123871427869,390.65714855183217
2021-09-08,channel_up,2021-06-28,2021-09-08,0.44267121679259325,403.7858398491228,0.4606660232779184,400.4733688115886
2021-11-22,channel_up,2021-09-13,2021-11-22,0.6914426756814337,408.80978736355365,0.7548733161457946,403.41633315766313
2022-12-05,channel_up,2022-09-23,2022-12-05,0.8119159280177928,347.34917657373285,0.9001120926750262,338.0219778897929
2023-05-22,channel_up,2023-03-10,2023-05-22,0.4842164077748275,381.89109573436366,0.5473113090918399,375.9201902787473
2023-07-11,channel_up,2023-04-27,2023-07-11,0.7553291523867942,393.47107344144615,0.7819696651477003,389.13999226230703
2023-07-26,channel_up,2023-05-12,2023-07-26,0.8897717129762324,398.79825255935526,0.9184619421468105,394.66275762811784
2023-12-28,channel_up,2023-10-17,2023-12-28,1.1911632182779563,407.8543330415253,1.228752619557096,403.07718213564203
2024-06-21,channel_up,2024-04-10,2024-06-21,0.823620680346713,492.35175201828133,0.8746916378918399,486.43895047789175
2024-07-09,channel_up,2024-04-25,2024-07-09,0.9418709797958965,498.43851249325064,0.959193302798208,493.9518259615794
2024-10-15,channel_up,2024-08-05,2024-10-15,0.8836830136031787,529.5405974583592,0.9650455687397337,521.4989342717973
2024-12-11,channel_up,2024-10-01,2024-12-11,0.7070094336425051,562.8778039681854,0.7387727059294382,557.656709803237
2025-06-26,channel_up,2025-04-14,2025-06-26,1.5468137562061746,536.7124021380833,1.664235285065023,526.8326129295352
2025-07-14,channel_up,2025-04-30,2025-07-14,1.227315964594349,562.3022030333527,1.3063374938747716,554.6870565690705
2025-07-29,channel_up,2025-05-15,2025-07-29,1.0911846185572578,579.1544057771334,1.1712758796882166,572.1774015761409
2025-09-25,channel_up,2025-07-16,2025-09-25,0.7454449750533296,623.0796608873402,0.7479545479863581,618.4184737062571
