event_date,event_type,intended_direction,entry_price,atr,tp_price,sl_price,exit_date,exit_price,exit_reason,bars_held,label,return_pct,event_source
2021-06-22,near_resistance,short,397.55,3.2154,391.12,403.98,2021-07-01,403.98,stop_loss,7,no_trade,-1.6176,detector
2021-07-26,multiple_bottom,long,414.38,4.1114,422.6,406.16,2021-08-09,415.42,time_exit,10,no_trade,0.2517,detector
2021-09-02,multiple_bottom,long,425.82,3.2396,432.3,419.34,2021-09-10,419.34,stop_loss,5,no_trade,-1.5216,detector
2021-11-18,near_resistance,short,442.77,2.9167,436.94,448.6,2021-11-26,436.94,take_profit,5,short,1.3175,detector
2021-12-28,multiple_bottom,long,451.08,5.605,462.29,439.87,2022-01-07,439.87,stop_loss,8,no_trade,-2.4851,detector
2022-02-23,near_support,long,399.13,8.1592,415.45,382.81,2022-03-02,415.45,take_profit,5,long,4.0885,detector
2022-03-16,multiple_top,short,412.06,9.216,393.63,430.49,2022-03-28,430.49,stop_loss,8,no_trade,-4.4731,detector
2022-04-29,near_support,long,390.93,8.924,408.78,373.08,2022-05-11,373.08,stop_loss,8,no_trade,-4.5655,detector
2022-06-15,multiple_top,short,359.81,8.9125,341.98,377.63,2022-06-30,359.5,time_exit,10,no_trade,0.0845,detector
2022-09-12,multiple_bottom,long,391.64,6.6686,404.97,378.3,2022-09-13,378.3,stop_loss,1,no_trade,-3.4055,detector
2022-11-04,multiple_top,short,360.12,7.4636,345.19,375.05,2022-11-10,375.05,stop_loss,4,no_trade,-4.1451,detector
2023-01-03,multiple_bottom,long,366.07,7.1375,380.34,351.79,2023-01-12,380.34,take_profit,7,long,3.8995,detector
2023-06-02,multiple_bottom,long,412.91,4.4352,421.79,404.04,2023-06-13,421.79,take_profit,7,long,2.1483,detector
2023-07-28,multiple_bottom,long,442.54,3.7385,450.01,435.06,2023-08-03,435.06,stop_loss,4,no_trade,-1.6896,detector
2023-10-20,near_support,long,409.37,5.8649,421.1,397.64,2023-11-03,421.1,take_profit,10,long,2.8653,detector
2024-01-10,near_resistance,short,465.06,4.0018,457.06,473.07,2024-01-22,473.07,stop_loss,7,no_trade,-1.721,detector
2024-01-30,multiple_bottom,long,479.05,3.6714,486.39,471.7,2024-01-31,471.7,stop_loss,1,no_trade,-1.5328,detector
2024-03-19,near_resistance,short,504.83,4.9584,494.92,514.75,2024-04-03,508.45,time_exit,10,no_trade,-0.7175,detector
2024-05-14,near_resistance,short,512.26,4.9547,502.35,522.17,2024-05-29,515.0,time_exit,10,no_trade,-0.5351,detector
2024-07-15,multiple_bottom,long,551.46,4.2222,559.9,543.01,2024-07-18,543.01,stop_loss,3,no_trade,-1.5313,detector
2024-08-30,near_resistance,short,553.57,6.1519,541.27,565.87,2024-09-03,541.27,take_profit,1,short,2.2226,detector
2024-10-08,near_resistance,short,564.62,5.2304,554.16,575.08,2024-10-14,575.08,stop_loss,4,no_trade,-1.8527,detector
2025-02-13,near_resistance,short,602.65,6.8679,588.92,616.39,2025-02-25,588.92,take_profit,7,short,2.2792,detector
2025-07-09,multiple_bottom,long,620.5,5.2041,630.91,610.09,2025-07-23,630.59,time_exit,10,no_trade,1.6264,detector
2025-08-08,multiple_bottom,long,633.55,5.8848,645.32,621.78,2025-08-22,641.63,time_exit,10,no_trade,1.2759,detector
2025-09-02,multiple_bottom,long,636.62,4.9587,646.54,626.7,2025-09-05,646.54,take_profit,3,long,1.5578,detector
2025-09-30,near_resistance,short,664.22,4.7619,654.69,673.74,2025-10-10,654.69,take_profit,8,short,1.4338,detector
2025-10-23,near_resistance,short,669.78,8.4237,652.93,686.63,2025-10-28,686.63,stop_loss,3,no_trade,-2.5154,detector
2025-12-10,near_resistance,short,685.54,7.7428,670.06,701.03,2025-12-17,670.06,take_profit,5,short,2.2589,detector
